ID;PAGE_ID;NAME;DISPLAY_NAME;DATA_TYPE;LENGTH;SCALE;SEARCHABLE;FILTERABLE;TYPE;CONFIGURABLE;CUSTOM;DEFAULT
1242;102;FLOWER_BULB_AGRMNT;RESOURCE_FLOWER_BULB_AGRMNT;NVARCHAR;1;0;1;1;0;1;0;1
1243;102;USDA;RESOURCE_USDA;NVARCHAR;1;0;1;1;0;1;0;1
1244;102;COOLING_UNIT_MNFTR;RESOURCE_COOLING_UNIT_MNFTR;NVARCHAR;40;0;1;1;0;1;0;1
1245;102;COOLING_UNIT_MODEL;RESOURCE_COOLING_UNIT_MODEL;NVARCHAR;40;0;1;1;0;1;0;1
1246;102;DESHUMIDIFY;RESOURCE_DESHUMIDIFY;NVARCHAR;1;0;1;1;0;1;0;1
1247;102;DATACORDER;RESOURCE_DATACORDER;NVARCHAR;1;0;1;1;0;1;0;1
1248;102;OFF_HIRE_DT;RESOURCE_OFF_HIRE_DATE;DATE;0;0;1;0;0;1;0;1
1249;102;ON_HIRE_DT;RESOURCE_ON_HIRE_DATE;DATE;0;0;1;0;0;1;0;1
1250;102;RESOURCE_STATUS;RESOURCE_BLOCKED_STATUS;VARCHAR;40;0;1;1;0;0;0;1
1251;102;VESSEL;RESOURCE_VESSEL;VARCHAR;35;0;1;1;0;1;0;1
1300;103;TRANSPORTATION_ID;TRANSPORTATION_UNIT;NVARCHAR;20;0;0;0;0;0;0;1
1301;103;TU_TYPE;BOK_TU_TYPE;NVARCHAR;2;0;0;0;0;0;0;1
1302;103;STATUS;EXECUTION_STATUS;NVARCHAR;60;0;1;1;0;0;0;1
1303;103;LIFECYCLE_STATUS;BOK_LIFECYCLE_STATUS;NVARCHAR;60;0;0;0;0;1;0;1
1304;103;SHIPPER;SHIPPER;NVARCHAR;10;0;1;1;0;0;0;1
1305;103;CONSIGNEE;CONSIGNEE;NVARCHAR;10;0;0;1;0;0;0;1
1306;103;RESOURCE_TYPE;RESOURCE_TYPE;NVARCHAR;10;0;1;1;0;0;0;1
1307;103;QUANTITY;QUANTITY;INTEGER;0;0;0;0;0;1;0;1
1308;103;ASSIGNED_CONTAINERS;BOK_ASSIGN_QUANTITY;INTEGER;0;0;0;0;0;1;0;1
1309;103;DESTINATION_LOCATION;DESTINATION_LOCATION;NVARCHAR;20;0;1;1;0;1;0;1
1310;103;POL_NAME;PORT_OF_LOADING;NVARCHAR;20;0;1;1;0;0;0;1
1311;103;POD_NAME;PORT_OF_DISCHARGE;NVARCHAR;20;0;0;1;0;0;0;1
1312;103;VESSEL_CUTOFF_DATE;VESSEL_CUTOFF_DATE;TIMESTAMP;0;0;0;0;0;1;0;1
1313;103;RELEVANT_PLANNING;BOK_HAULAGE_TYPE;INTEGER;0;0;0;0;0;0;0;1
1314;103;CUSTOMER_NAME;BOK_CUSTOMER_NAME;NVARCHAR;255;0;0;0;0;1;0;1
1315;103;BOOKING_DATE;BOK_BOOKING_DATE;DATE;0;0;0;0;0;1;0;1
1316;103;ORIGINAL_PICKUP_DATE;CURRENT_PICKUP_DATE;TIMESTAMP;0;0;0;0;0;0;0;1
1317;103;ORIGINAL_PICKUP_LOCATION;CURRENT_PICKUP_LOCATION;NVARCHAR;20;0;0;1;0;0;0;1
1318;103;PICKUP_DATE;PICKUP_DATE;TIMESTAMP;0;0;0;0;0;0;1;1
1319;103;PICKUP_LOCATION;PICKUP_LOCATION;NVARCHAR;20;0;0;0;0;0;1;1
1320;103;STREETTURN_TU_ID;TRIANGULATION_TU;NVARCHAR;20;0;0;0;0;0;1;1
1321;103;PLAN_STATUS;PLAN_STATUS;NVARCHAR;20;0;0;0;0;0;1;1
1322;103;BOOKING_REFERENCE;BOOKING_REFERENCE;VARCHAR;20;0;0;0;0;1;0;1
1323;103;MEANS_OF_TRANSPORTATION;MEANS_OF_TRANSPORT;VARCHAR;60;0;0;0;0;1;0;1
1324;103;CARRIER_POL;CARRIER_POL;VARCHAR;10;0;0;0;0;1;0;1
1325;103;VOYAGE_POL;VOYAGE_ID_FOR_POL;VARCHAR;35;0;0;0;0;1;0;1
1326;103;SPECIAL_INSTRUCTION_NAME;SPECIAL_INSTRUCTION;VARCHAR;30;0;0;1;0;1;0;1
1327;103;LAST_LOCATION_NAME;LAST_LOCATION;VARCHAR;22;0;0;1;0;1;0;1
1329;103;RESOURCE_NUMBER;RESOURCE_NUMBER;NVARCHAR;20;0;1;1;0;1;0;1
1330;103;SOURCE_LOCATION;SOURCE_LOCATION;NVARCHAR;20;0;1;1;0;1;0;1
1331;103;VESSEL_POL;VESSEL_NAME_FOR_POL;NVARCHAR;100;0;1;1;0;1;0;1
1332;103;LEASE_AGREEMENT;LEASE_AGREEMENT;NVARCHAR;20;0;1;1;0;1;0;1
1333;103;LEASE_TYPE;LEASE_TYPE;NVARCHAR;60;0;1;1;0;1;0;1
1334;103;CARRIER_POD;CARRIER_POD;VARCHAR;10;0;0;0;0;1;0;1
1335;103;ACTION;PICKUP_ACTION;DATE;0;0;0;0;0;0;1;1
1336;103;ASSIGN_STATUS;ASSIGN_STATUS;INTEGER;0;0;0;0;0;0;1;1
1337;103;LEASE_CONTRACT_TYPE;LEASE_CONTRACT_TYPE;NVARCHAR;100;0;1;1;0;1;0;1
1400;104;TRANSPORTATION_ID;TRANSPORTATION_UNIT;NVARCHAR;20;0;0;0;0;0;0;1
1401;104;TU_TYPE;BOK_TU_TYPE;NVARCHAR;2;0;0;0;0;0;0;1
1402;104;STATUS;EXECUTION_STATUS;NVARCHAR;60;0;1;1;0;0;0;1
1403;104;LIFECYCLE_STATUS;LIFECYCLE_STATUS;NVARCHAR;60;0;0;0;0;1;0;1
1404;104;SHIPPER;SHIPPER;NVARCHAR;10;0;0;1;0;0;0;1
1405;104;CONSIGNEE;CONSIGNEE;NVARCHAR;10;0;1;1;0;0;0;1
1406;104;RESOURCE_TYPE;RESOURCE_TYPE;NVARCHAR;10;0;1;1;0;0;0;1
1407;104;QUANTITY;QUANTITY;INTEGER;0;0;0;0;0;1;0;1
1408;104;ASSIGNED_CONTAINERS;BOK_ASSIGN_QUANTITY;INTEGER;0;0;0;0;0;1;0;1
